City Name,City_Alt,Population_x,Total Points,Obesity Rank
Springdale,"SPRINGDALE, AR","77,252",3.0,35.7
South Bend,"SOUTH BEND, IN","101,928",2.0,38.6
Kalamazoo,"KALAMAZOO, MI","75,833",1.9,37.4
Springfield,"SPRINGFIELD, MO","165,785",1.9,32.4
Medford,"MEDFORD, OR","79,246",1.9,28.1
Fort Wayne,"FORT WAYNE, IN","262,450",1.9,34.8
Rapid City,"RAPID CITY, SD","72,841",1.9,28.0
Missoula,"MISSOULA, MT","70,847",2.2,24.5
Waukesha,"WAUKESHA, WI","72,173",1.9,28.9
Bend,"BEND, OR","87,167",2.0,26.0
Bellingham,"BELLINGHAM, WA","85,388",2.1,27.6
Tustin,"TUSTIN, CA","80,007",1.7,21.6
Fort Collins,"FORT COLLINS, CO","159,150",3.6,21.6
Iowa City,"IOWA CITY, IA","73,415",2.1,25.3
Hillsboro,"HILLSBORO, OR","102,396",2.3,29.2
Murfreesboro,"MURFREESBORO, TN","126,188",1.7,29.7
Redding,"REDDING, CA","91,236",1.6,25.4
Wichita,"WICHITA, KS","389,054",1.8,31.3
Boulder,"BOULDER, CO","106,271",3.7,14.9
Santa Barbara,"SANTA BARBARA, CA","91,443",3.1,23.8
Fort Smith,"FORT SMITH, AR","87,537",1.7,35.0
Mount Pleasant,"MOUNT PLEASANT, SC","80,661",1.7,24.8
Ann Arbor,"ANN ARBOR, MI","119,303",3.0,23.4
Orem,"OREM, UT","94,420",1.8,25.6
Tampa,"TAMPA, FL","368,087",1.5,28.5
Independence,"INDEPENDENCE, MO","117,369",1.7,31.2
Lansing,"LANSING, MI","115,222",1.8,38.1
Aurora,"AURORA, IL","200,946",2.0,34.4
Charleston,"CHARLESTON, WV","49,384",1.6,37.0
Kansas City,"KANSAS CITY, KS","151,042",1.6,43.6
Santa Maria,"SANTA MARIA, CA","104,791",2.8,29.2
Portland,"PORTLAND, ME","66,715",1.7,26.3
Athens,"ATHENS, GA","122,292",2.3,27.5
Alexandria,"ALEXANDRIA, VA","154,710",1.9,25.2
Tulsa,"TULSA, OK","401,352",1.5,30.3
Yuma,"YUMA, AZ","93,851",1.5,35.2
Philadelphia,"PHILADELPHIA, PA","1,569,657",2.0,29.3
Santa Ana,"SANTA ANA, CA","334,493",1.6,27.6
Chicago,"CHICAGO, IL","2,722,586",2.0,33.0
Evansville,"EVANSVILLE, IN","119,806",1.6,36.2
Hartford,"HARTFORD, CT","124,390",1.5,35.7
Syracuse,"SYRACUSE, NY","144,405",1.5,35.8
Tuscaloosa,"TUSCALOOSA, AL","97,373",1.4,31.8
Chico,"CHICO, CA","90,660",2.3,23.7
Pittsburgh,"PITTSBURGH, PA","305,012",1.8,30.0
Peoria,"PEORIA, IL","115,424",1.6,35.3
Burlington,"BURLINGTON, VT","42,453",2.1,21.9
Erie,"ERIE, PA","98,970",1.6,38.0
Denver,"DENVER, CO","678,467",3.1,19.8
Gainesville,"GAINESVILLE, FL","129,394",2.4,24.6
Cranston,"CRANSTON, RI","80,979",1.4,26.0
Fort Lauderdale,"FORT LAUDERDALE, FL","177,175",2.1,28.4
Olathe,"OLATHE, KS","134,368",1.8,26.2
Avondale,"AVONDALE, AZ","81,590",1.5,29.9
Tucson,"TUCSON, AZ","530,905",2.9,29.0
Las Cruces,"LAS CRUCES, NM","101,014",1.5,28.8
Anaheim,"ANAHEIM, CA","349,007",1.4,24.1
Fort Worth,"FORT WORTH, TX","835,129",1.6,33.4
Flint,"FLINT, MI","97,810",1.5,45.0
Stockton,"STOCKTON, CA","304,358",1.5,30.5
Lawrence,"LAWRENCE, KS","93,954",3.3,26.0
Appleton,"APPLETON, WI","73,832",1.8,30.2
Riverside,"RIVERSIDE, CA","321,570",1.4,28.1
Montgomery,"MONTGOMERY, AL","200,761",1.4,36.4
Irvine,"IRVINE, CA","256,877",1.9,16.4
Nashua,"NASHUA, NH","87,642",1.4,28.2
Little Rock,"LITTLE ROCK, AR","197,780",1.7,34.2
New Haven,"NEW HAVEN, CT","130,884",1.6,32.0
Vancouver,"VANCOUVER, WA","171,393",1.7,31.1
Buffalo,"BUFFALO, NY","259,574",2.5,36.4
Austin,"AUSTIN, TX","916,906",2.9,25.4
Seattle,"SEATTLE, WA","688,245",2.3,22.7
Honolulu,"HONOLULU, HI","350,788",1.6,22.8
Sacramento,"SACRAMENTO, CA","489,650",1.7,28.1
Miami,"MIAMI, FL","443,007",1.4,29.5
Detroit,"DETROIT, MI","679,865",1.6,47.0
Anchorage,"ANCHORAGE, AK","298,225",1.8,27.6
Corpus Christi,"CORPUS CHRISTI, TX","322,726",1.3,37.2
Roanoke,"ROANOKE, VA","99,572",1.6,33.7
Albany,"ALBANY, NY","98,498",1.4,31.0
Cambridge,"CAMBRIDGE, MA","110,893",2.2,20.5
Glendale,"GLENDALE, AZ","241,543",1.6,29.8
Rochester,"ROCHESTER, MN","112,683",1.7,26.7
Lafayette,"LAFAYETTE, LA","126,476",1.3,32.6
Folsom,"FOLSOM, CA","75,897",1.8,23.8
Houston,"HOUSTON, TX","2,267,336",1.4,32.6
Carlsbad,"CARLSBAD, CA","113,147",1.3,18.5
Columbus,"COLUMBUS, OH","852,144",1.8,32.0
Asheville,"ASHEVILLE, NC","89,318",1.5,26.6
Warren,"WARREN, MI","135,147",1.5,34.0
New York,"NEW YORK, NY","8,560,072",1.9,24.8
Green Bay,"GREEN BAY, WI","104,796",1.8,34.0
Arlington,"ARLINGTON, TX","388,225",1.3,31.9
Spokane,"SPOKANE, WA","212,982",1.7,30.6
Virginia Beach,"VIRGINIA BEACH, VA","450,057",1.4,27.7
Albuquerque,"ALBUQUERQUE, NM","556,718",1.6,27.7
Fayetteville,"FAYETTEVILLE, NC","210,324",1.3,34.2
Omaha,"OMAHA, NE","463,081",1.7,33.2
Champaign,"CHAMPAIGN, IL","85,710",1.8,29.0
Madison,"MADISON, WI","248,856",3.2,26.1
Rochester,"ROCHESTER, NY","209,463",2.6,38.9
Savannah,"SAVANNAH, GA","145,094",1.4,33.7
San Francisco,"SAN FRANCISCO, CA","864,263",2.2,17.1
Cleveland,"CLEVELAND, OH","388,812",1.7,39.2
Lake Charles,"LAKE CHARLES, LA","75,194",1.2,39.1
Mobile,"MOBILE, AL","192,085",1.3,39.0
Federal Way,"FEDERAL WAY, WA","94,905",1.9,26.7
Jackson,"JACKSON, MS","170,393",1.2,43.6
Chattanooga,"CHATTANOOGA, TN","176,291",1.6,33.7
Aurora,"AURORA, CO","357,323",1.5,25.5
New Orleans,"NEW ORLEANS, LA","388,182",3.0,33.8
Redwood City,"REDWOOD CITY, CA","84,368",1.7,25.0
Lincoln,"LINCOLN, NE","277,315",2.7,28.7
Providence,"PROVIDENCE, RI","179,509",3.0,29.6
