Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2016,CO,Colorado,Boulder,City,BRFSS,Unhealthy Behaviors,807850,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,14.9,,,14.6,15.1,"97,385","(40.0275510494, -105.25151776)",UNHBEH,OBESITY,807850,,Obesity
2016,CA,California,Fremont,City,BRFSS,Unhealthy Behaviors,626000,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,15.7,,,15.6,15.8,"214,089","(37.5278685405, -121.984121512)",UNHBEH,OBESITY,626000,,Obesity
2016,CA,California,Milpitas,City,BRFSS,Unhealthy Behaviors,647766,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,16,,,15.7,16.2,"66,790","(37.433869763, -121.892083025)",UNHBEH,OBESITY,647766,,Obesity
2016,CA,California,Irvine,City,BRFSS,Unhealthy Behaviors,636770,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,16.4,,,16.2,16.5,"212,375","(33.6780108904, -117.773633283)",UNHBEH,OBESITY,636770,,Obesity
2016,CA,California,San Francisco,City,BRFSS,Unhealthy Behaviors,667000,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.1,,,17.1,17.2,"805,235","(37.7559136611, -122.440987876)",UNHBEH,OBESITY,667000,,Obesity
2016,CA,California,Union City,City,BRFSS,Unhealthy Behaviors,681204,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.1,,,16.9,17.3,"69,516","(37.6028390812, -122.018966106)",UNHBEH,OBESITY,681204,,Obesity
2016,CA,California,Sunnyvale,City,BRFSS,Unhealthy Behaviors,677000,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.3,,,17.1,17.4,"140,081","(37.3834416566, -122.025624324)",UNHBEH,OBESITY,677000,,Obesity
2016,CA,California,Santa Clara,City,BRFSS,Unhealthy Behaviors,669084,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.9,,,17.7,18.1,"116,468","(37.3646197504, -121.967932117)",UNHBEH,OBESITY,669084,,Obesity
2016,CA,California,Pleasanton,City,BRFSS,Unhealthy Behaviors,657792,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,18.1,,,17.7,18.4,"70,285","(37.6656092171, -121.880775002)",UNHBEH,OBESITY,657792,,Obesity
2016,CO,Colorado,Longmont,City,BRFSS,Unhealthy Behaviors,845970,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,18.2,,,17.9,18.4,"86,270","(40.1695164708, -105.10195106)",UNHBEH,OBESITY,845970,,Obesity
2016,CA,California,Alhambra,City,BRFSS,Unhealthy Behaviors,600884,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,18.3,,,18.2,18.5,"83,089","(34.0839734383, -118.135514119)",UNHBEH,OBESITY,600884,,Obesity
2016,CA,California,Torrance,City,BRFSS,Unhealthy Behaviors,680000,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,18.4,,,18.2,18.5,"145,438","(33.8345985464, -118.341641983)",UNHBEH,OBESITY,680000,,Obesity
2016,CA,California,Alameda,City,BRFSS,Unhealthy Behaviors,600562,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,18.5,,,18.3,18.7,"73,812","(37.7650849031, -122.266489842)",UNHBEH,OBESITY,600562,,Obesity
2016,CA,California,Berkeley,City,BRFSS,Unhealthy Behaviors,606000,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,18.5,,,18.3,18.7,"112,580","(37.8725678765, -122.274907975)",UNHBEH,OBESITY,606000,,Obesity
2016,CA,California,Carlsbad,City,BRFSS,Unhealthy Behaviors,611194,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,18.5,,,18.3,18.8,"105,328","(33.1248051026, -117.282903303)",UNHBEH,OBESITY,611194,,Obesity
2016,CA,California,Daly City,City,BRFSS,Unhealthy Behaviors,617918,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,18.5,,,18.3,18.7,"101,123","(37.6861552276, -122.468298024)",UNHBEH,OBESITY,617918,,Obesity
2016,NM,New Mexico,Santa Fe,City,BRFSS,Unhealthy Behaviors,3570500,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,18.8,,,18.5,19,"67,947","(35.6662719601, -105.972662995)",UNHBEH,OBESITY,3570500,,Obesity
2016,CA,California,Newport Beach,City,BRFSS,Unhealthy Behaviors,651182,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,18.9,,,18.6,19.2,"85,186","(33.6150103607, -117.867364631)",UNHBEH,OBESITY,651182,,Obesity
2016,GA,Georgia,Johns Creek,City,BRFSS,Unhealthy Behaviors,1342425,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,18.9,,,18.6,19.2,"76,728","(34.0332991998, -84.2027195506)",UNHBEH,OBESITY,1342425,,Obesity
2016,CA,California,Mountain View,City,BRFSS,Unhealthy Behaviors,649670,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19.1,,,18.9,19.3,"74,066","(37.3999252379, -122.079544343)",UNHBEH,OBESITY,649670,,Obesity
2016,CA,California,Westminster,City,BRFSS,Unhealthy Behaviors,684550,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19.6,,,19.5,19.8,"89,701","(33.7521523769, -117.993760054)",UNHBEH,OBESITY,684550,,Obesity
2016,CA,California,San Diego,City,BRFSS,Unhealthy Behaviors,666000,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19.8,,,19.8,19.9,"1,307,402","(32.8355639418, -117.119792061)",UNHBEH,OBESITY,666000,,Obesity
2016,CO,Colorado,Denver,City,BRFSS,Unhealthy Behaviors,820000,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19.8,,,19.7,19.9,"600,158","(39.7620283743, -104.876365322)",UNHBEH,OBESITY,820000,,Obesity
2016,WA,Washington,Bellevue,City,BRFSS,Unhealthy Behaviors,5305210,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19.8,,,19.6,20,"122,363","(47.5962437606, -122.153569982)",UNHBEH,OBESITY,5305210,,Obesity
2016,CO,Colorado,Centennial,City,BRFSS,Unhealthy Behaviors,812815,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19.9,,,19.7,20.2,"100,377","(39.592872073, -104.867986891)",UNHBEH,OBESITY,812815,,Obesity
2016,MA,Massachusetts,Newton,City,BRFSS,Unhealthy Behaviors,2545560,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,20,,,19.7,20.2,"85,146","(42.3316567616, -71.2084466944)",UNHBEH,OBESITY,2545560,,Obesity
2016,CA,California,Redondo Beach,City,BRFSS,Unhealthy Behaviors,660018,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,20.1,,,19.8,20.4,"66,748","(33.8575280159, -118.376567893)",UNHBEH,OBESITY,660018,,Obesity
2016,CA,California,Chino Hills,City,BRFSS,Unhealthy Behaviors,613214,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,20.2,,,19.9,20.5,"74,799","(33.950774546, -117.725326968)",UNHBEH,OBESITY,613214,,Obesity
